,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_0.75_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1.5_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1_b_2_g_1000,62.8188622754491,132.890243902439,81.67833698030634,20.0,75.5,33.0,668.0,246.0,300.0,-70.0713816269899,2.7154471544715446
forest\w_1.25_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_0.75_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1.5_b_1.5_g_1000,62.911544227886054,133.41224489795917,81.85087719298245,20.0,76.0,33.0,667.0,245.0,300.0,-70.50070067007312,2.7224489795918365
forest\w_1.25_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_1_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_1.5_b_2_g_2500,62.8188622754491,135.04918032786884,82.14364035087719,20.0,71.0,31.0,668.0,244.0,300.0,-72.23031805241973,2.737704918032787
forest\w_0.75_b_2_g_2500,62.8188622754491,135.35802469135803,82.16794731064763,20.0,71.0,31.0,668.0,243.0,300.0,-72.53916241590892,2.748971193415638
forest\w_1_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
